INCI name,Hair penalty,Body penalty,Face penalty,Oral cavity penalty,Makeup penalty,Babies penalty,Classification,Functions,Origin
CITRUS AURANTIUM BERGAMIA PEEL OIL,Low,Low,Low,Low,Low,Low,"['Allergen', 'Regulated', 'Essential oil']","['Masking: Reduces or inhibits the odor or basic taste of the product', 'Perfuming: Used for perfume and aromatic raw materials']",['Vegetal']
CITRUS AURANTIUM DULCIS FLOWER EXTRACT,None,None,None,None,None,None,[],['Skin conditioning: Maintains skin in good condition'],['Vegetal']
CITRUS AURANTIUM DULCIS FLOWER OIL,Low,Low,Low,Low,Low,Low,"['Allergen', 'Regulated', 'Essential oil']","['Astringent: Helps tighten skin pores', 'Masking: Reduces or inhibits the odor or basic taste of the product', 'Skin conditioning: Maintains skin in good condition', 'Tonic: Produces a feeling of well-being on skin and hair']",['Vegetal']
CITRUS AURANTIUM DULCIS FLOWER WATER,None,None,None,None,None,None,[],['Skin conditioning: Maintains skin in good condition'],['Vegetal']
CITRUS AURANTIUM DULCIS FRUIT EXTRACT,None,None,None,None,None,None,[],"['Masking: Reduces or inhibits the odor or basic taste of the product', 'Skin conditioning: Maintains skin in good condition']",['Vegetal']
CITRUS AURANTIUM DULCIS JUICE,None,None,None,None,None,None,[],['Skin conditioning: Maintains skin in good condition'],[]
CITRUS AURANTIUM DULCIS PEEL OIL,Low,Low,Low,Low,Low,Low,"['Allergen', 'Regulated', 'Essential oil']","['Masking: Reduces or inhibits the odor or basic taste of the product', 'Skin conditioning: Maintains skin in good condition']",['Vegetal']
CITRUS AURANTIUM DULCIS PEEL OIL EXPRESSED,Low,Low,Low,Low,Low,Low,"['Allergen', 'Regulated', 'Essential oil']",['Perfuming: Used for perfume and aromatic raw materials'],['Vegetal']
CITRUS AURANTIUM DULCIS SEED OIL,None,None,None,None,None,None,['Vegetable oil'],"['Masking: Reduces or inhibits the odor or basic taste of the product', 'Skin conditioning: Maintains skin in good condition', 'Flavouring agent: Gives an aroma to the cosmetic product']",['Vegetal']
CITRUS AURANTIUM FLOWER OIL,Low,Low,Low,Low,Low,Low,"['Allergen', 'Essential oil']",['Perfuming: Used for perfume and aromatic raw materials'],['Vegetal']
CITRUS AURANTIUM LEAF OIL,None,None,None,None,None,None,['Essential oil'],['Perfuming: Used for perfume and aromatic raw materials'],['Vegetal']
CITRUS AURANTIUM OIL,Low,Low,Low,Low,Low,Low,"['Allergen', 'Regulated', 'Essential oil']",[],['Vegetal']
CITRUS AURANTIUM PEEL EXTRACT,None,None,None,None,None,None,[],['Perfuming: Used for perfume and aromatic raw materials'],['Vegetal']
CITRUS AURANTIUM PEEL OIL EXPRESSED,Low,Low,Low,Low,Low,Low,"['Allergen', 'Regulated', 'Essential oil']",['Perfuming: Used for perfume and aromatic raw materials'],['Vegetal']
CITRUS BERGAMIA LEAF OIL,None,None,None,None,None,None,['Essential oil'],['Perfuming: Used for perfume and aromatic raw materials'],['Vegetal']
CITRUS BERGAMIA PEEL OIL EXPRESSED,Low,Low,Low,Low,Low,Low,"['Allergen', 'Regulated', 'Essential oil']",['Perfuming: Used for perfume and aromatic raw materials'],['Vegetal']
CITRUS GRANDIS FRUIT EXTRACT,Low,Low,Low,Low,Low,Low,['Regulated'],"['Astringent: Helps tighten skin pores', 'Skin conditioning: Maintains skin in good condition', 'Tonic: Produces a feeling of well-being on skin and hair', 'Perfuming: Used for perfume and aromatic raw materials']",['Vegetal']
CITRUS GRANDIS PEEL OIL,Low,Low,Low,Low,Low,Low,"['Regulated', 'Essential oil']","['Masking: Reduces or inhibits the odor or basic taste of the product', 'Skin conditioning: Maintains skin in good condition', 'Perfuming: Used for perfume and aromatic raw materials']",['Vegetal']
CITRUS GRANDIS SEED EXTRACT,Low,Low,Low,Low,Low,Low,['Regulated'],"['Astringent: Helps tighten skin pores', 'Skin conditioning: Maintains skin in good condition', 'Tonic: Produces a feeling of well-being on skin and hair', 'Perfuming: Used for perfume and aromatic raw materials']",['Vegetal']
CITRUS GRANDIS SEED OIL,Low,Low,Low,Low,Low,Low,"['Regulated', 'Vegetable oil']","['Emollient: Softens and smoothes the skin', 'Skin conditioning: Maintains skin in good condition', 'Perfuming: Used for perfume and aromatic raw materials']",['Vegetal']
CITRUS JUNOS FRUIT EXTRACT,None,None,None,None,None,None,[],['Skin conditioning: Maintains skin in good condition'],[]
CITRUS LIMON FRUIT EXTRACT,Low,Low,Low,Low,Low,Low,['Regulated'],"['Masking: Reduces or inhibits the odor or basic taste of the product', 'Skin conditioning - miscellaneous: Improving the appearance of dry and/or damaged skin by reducing flaking and restoring its suppleness', 'Skin conditioning - occlusive: Retarding the evaporation of water from the skin surface Occlusives are generally lipids which tend to remain on the skin surface and thus increase the water content of skin']",['Vegetal']
CITRUS LIMON FRUIT OIL,Low,Low,Low,Low,Low,Low,"['Regulated', 'Essential oil']","['Astringent: Helps tighten skin pores', 'Tonic: Produces a feeling of well-being on skin and hair']",['Vegetal']
CITRUS LIMON FRUIT WATER,Low,Low,Low,Low,Low,Low,['Regulated'],"['Masking: Reduces or inhibits the odor or basic taste of the product', 'Skin conditioning: Maintains skin in good condition']",['Vegetal']
CITRUS LIMON JUICE,Low,Low,Low,Low,Low,Low,['Regulated'],"['Skin conditioning: Maintains skin in good condition', 'Tonic: Produces a feeling of well-being on skin and hair']",['Vegetal']
CITRUS LIMON PEEL,Low,Low,Low,Low,Low,Low,['Regulated'],"['Masking: Reduces or inhibits the odor or basic taste of the product', 'Skin conditioning: Maintains skin in good condition']",['Vegetal']
CITRUS LIMON PEEL EXTRACT,Low,Low,Low,Low,Low,Low,['Regulated'],"['Emollient: Softens and smoothes the skin', 'Skin conditioning: Maintains skin in good condition', 'Skin protecting: Helps to avoid the harmful effects of external factors on the skin', 'Tonic: Produces a feeling of well-being on skin and hair']",['Vegetal']
CITRUS LIMON PEEL OIL,Low,Low,Low,Low,Low,Low,"['Allergen', 'Regulated', 'Essential oil']","['Masking: Reduces or inhibits the odor or basic taste of the product', 'Skin conditioning: Maintains skin in good condition', 'Perfuming: Used for perfume and aromatic raw materials']",['Vegetal']
CITRUS LIMON SEED OIL,Low,Low,Low,Low,Low,Low,"['Regulated', 'Vegetable oil']","['Masking: Reduces or inhibits the odor or basic taste of the product', 'Skin conditioning: Maintains skin in good condition', 'Perfuming: Used for perfume and aromatic raw materials']",['Vegetal']
CITRUS MEDICA VULGARIS FRUIT EXTRACT,None,None,None,None,None,None,[],"['Antioxidant: Inhibits reactions favored by oxygen, thus avoiding oxidation and rancidity', 'Chelating: Reacts and forms complexes with metal ions that could affect the stability and / or appearance of cosmetic products']",['Vegetal']
CITRUS MEDICA VULGARIS PEEL OIL,None,None,None,None,None,None,['Essential oil'],['Masking: Reduces or inhibits the odor or basic taste of the product'],['Vegetal']
CITRUS NOBILIS FRUIT EXTRACT,None,None,None,None,None,None,[],"['Masking: Reduces or inhibits the odor or basic taste of the product', 'Skin conditioning: Maintains skin in good condition']",['Vegetal']
CITRUS NOBILIS OIL,None,None,None,None,None,None,['Essential oil'],"['Masking: Reduces or inhibits the odor or basic taste of the product', 'Tonic: Produces a feeling of well-being on skin and hair']",['Vegetal']
CITRUS NOBILIS PEEL OIL,None,None,None,None,None,None,['Essential oil'],"['Masking: Reduces or inhibits the odor or basic taste of the product', 'Skin conditioning: Maintains skin in good condition', 'Tonic: Produces a feeling of well-being on skin and hair']",['Vegetal']
CITRUS PARADISI FRUIT EXTRACT,Low,Low,Low,Low,Low,Low,['Regulated'],['Skin conditioning: Maintains skin in good condition'],['Vegetal']
CITRUS PARADISI PEEL OIL,Low,Low,Low,Low,Low,Low,"['Regulated', 'Essential oil']","['Masking: Reduces or inhibits the odor or basic taste of the product', 'Perfuming: Used for perfume and aromatic raw materials']",['Vegetal']
CITRUS PARADISI SEED OIL,Low,Low,Low,Low,Low,Low,"['Regulated', 'Vegetable oil']","['Skin conditioning: Maintains skin in good condition', 'Perfuming: Used for perfume and aromatic raw materials']",['Vegetal']
CITRUS RETICULATA FRUIT EXTRACT,Low,Low,Low,Low,Low,Low,['Regulated'],['Skin protecting: Helps to avoid the harmful effects of external factors on the skin'],['Vegetal']
CITRUS RETICULATA PEEL OIL,Low,Low,Low,Low,Low,Low,"['Regulated', 'Essential oil']","['Deodorant: Reduces or masks unpleasant body odors', 'Masking: Reduces or inhibits the odor or basic taste of the product', 'Perfuming: Used for perfume and aromatic raw materials', 'Flavouring agent: Gives an aroma to the cosmetic product']",['Vegetal']
CITRUS SINENSIS FRUIT EXTRACT,None,None,None,None,None,None,[],"['Antioxidant: Inhibits reactions favored by oxygen, thus avoiding oxidation and rancidity', 'Skin conditioning: Maintains skin in good condition']",['Vegetal']
CITRUS SINENSIS PEEL OIL EXPRESSED,Low,Low,Low,Low,Low,Low,"['Allergen', 'Essential oil']",['Perfuming: Used for perfume and aromatic raw materials'],['Vegetal']
CITRUS SINENSIS VALENCIA PEEL OIL EXPRESSED,Low,Low,Low,Low,Low,Low,"['Allergen', 'Regulated', 'Essential oil']",['Perfuming: Used for perfume and aromatic raw materials'],['Vegetal']
CITRUS TANGERINA EXTRACT,None,None,None,None,None,None,[],['Tonic: Produces a feeling of well-being on skin and hair'],['Vegetal']
CITRUS TANGERINA PEEL OIL,None,None,None,None,None,None,['Vegetable oil'],"['Masking: Reduces or inhibits the odor or basic taste of the product', 'Skin conditioning: Maintains skin in good condition']",['Vegetal']
CITRUS UNSHIU FRUIT OIL,None,None,None,None,None,None,['Vegetable oil'],"['Emollient: Softens and smoothes the skin', 'Skin conditioning: Maintains skin in good condition']",['Vegetal']
CLIMBAZOLE,Strong,Strong,Strong,Strong,Strong,Strong,"['Suspected endocrine disruptor', 'Regulated', 'Preservative']","['Anti dandruff: Helps fight against dandruff', 'Antimicrobial: Helps slowing the growth of micro-organisms on the skin and counteracts the development of microbes']",['Synthetic']
COBALT ALUMINUM OXIDE,Medium,Medium,Medium,Medium,Medium,Medium,"['Aluminum salt', 'Regulated']",[],[]
COBALT CHLORIDE,Strong,Strong,Strong,Strong,Strong,Strong,['Regulated'],['Unclassified: Unclassified'],[]
COCAMIDE MEA,Medium,Medium,Medium,Medium,Medium,Medium,"['MEA', 'Nonionic surfactant']","['Foam boosting: Improves the quality of the foam produced by increasing one or more of the following properties: volume, texture and/or stability', 'Viscosity controlling: Increases or decreases the viscosity of cosmetics']","['Vegetal', 'Synthetic']"
COCAMIDOETHYL BETAINE,None,None,None,None,None,None,"['Quaternary ammonium cation', 'Amphoteric surfactant']","['Antistatic: Reduces static electricity by neutralizing electrical charge on a surface', 'Cleansing: Helps to keep a clean surface', 'Foam boosting: Improves the quality of the foam produced by increasing one or more of the following properties: volume, texture and/or stability', 'Hair conditioning: Leaves hair easy to comb, soft, soft and shiny and / or confers volume, lightness and shine', 'Surfactant: Reduces the surface tension of cosmetics and contributes to the even distribution of the product when it is used', 'Viscosity controlling: Increases or decreases the viscosity of cosmetics']",[]
COCAMIDOPROPYL BETAINE,Low,Low,Low,Low,Low,Low,"['Quaternary ammonium cation', 'Amphoteric surfactant']","['Antistatic: Reduces static electricity by neutralizing electrical charge on a surface', 'Cleansing: Helps to keep a clean surface', 'Foam boosting: Improves the quality of the foam produced by increasing one or more of the following properties: volume, texture and/or stability', 'Hair conditioning: Leaves hair easy to comb, soft, soft and shiny and / or confers volume, lightness and shine', 'Surfactant: Reduces the surface tension of cosmetics and contributes to the even distribution of the product when it is used']","['Vegetal', 'Synthetic']"
COCAMIDOPROPYL DIMETHYLAMINOHYDROXYPROPYL HYDROLYZED COLLAGEN,Medium,Medium,Medium,Medium,Medium,Medium,[],"['Antistatic: Reduces static electricity by neutralizing electrical charge on a surface', 'Hair conditioning: Leaves hair easy to comb, soft, soft and shiny and / or confers volume, lightness and shine', 'Skin conditioning: Maintains skin in good condition', 'Surfactant: Reduces the surface tension of cosmetics and contributes to the even distribution of the product when it is used']",[]
COCAMIDOPROPYL HYDROXYSULTAINE,Low,Low,Low,Low,Low,Low,['Amphoteric surfactant'],"['Antistatic: Reduces static electricity by neutralizing electrical charge on a surface', 'Cleansing: Helps to keep a clean surface', 'Foam boosting: Improves the quality of the foam produced by increasing one or more of the following properties: volume, texture and/or stability', 'Hair conditioning: Leaves hair easy to comb, soft, soft and shiny and / or confers volume, lightness and shine', 'Skin conditioning: Maintains skin in good condition', 'Surfactant: Reduces the surface tension of cosmetics and contributes to the even distribution of the product when it is used', 'Viscosity controlling: Increases or decreases the viscosity of cosmetics']","['Vegetal', 'Synthetic']"
COCAMIDOPROPYL PG-DIMONIUM CHLORIDE PHOSPHATE,Medium,Medium,Medium,Medium,Medium,Medium,['Quaternary ammonium cation'],"['Antistatic: Reduces static electricity by neutralizing electrical charge on a surface', 'Hair conditioning: Leaves hair easy to comb, soft, soft and shiny and / or confers volume, lightness and shine']",['Synthetic']
COCCINIA INDICA FRUIT EXTRACT,None,None,None,None,None,None,[],['Skin conditioning: Maintains skin in good condition'],[]
COCHLEARIA ARMORACIA ROOT EXTRACT,None,None,None,None,None,None,[],['Masking: Reduces or inhibits the odor or basic taste of the product'],['Vegetal']
COCO-BETAINE,None,None,None,None,None,None,"['Quaternary ammonium cation', 'Amphoteric surfactant']","['Antistatic: Reduces static electricity by neutralizing electrical charge on a surface', 'Cleansing: Helps to keep a clean surface', 'Foam boosting: Improves the quality of the foam produced by increasing one or more of the following properties: volume, texture and/or stability', 'Hair conditioning: Leaves hair easy to comb, soft, soft and shiny and / or confers volume, lightness and shine', 'Skin conditioning: Maintains skin in good condition', 'Surfactant: Reduces the surface tension of cosmetics and contributes to the even distribution of the product when it is used', 'Viscosity controlling: Increases or decreases the viscosity of cosmetics']","['Vegetal', 'Synthetic']"
COCO-CAPRYLATE,None,None,None,None,None,None,['Esterified oil'],['Emollient: Softens and smoothes the skin'],['Vegetal']
COCO-CAPRYLATE/CAPRATE,None,None,None,None,None,None,['Esterified oil'],"['Emollient: Softens and smoothes the skin', 'Skin conditioning: Maintains skin in good condition']","['Vegetal', 'Synthetic']"
COCO-GLUCOSIDE,None,None,None,None,None,None,['Nonionic surfactant'],"['Cleansing: Helps to keep a clean surface', 'Foaming: Capturing small air bubbles or other gases in a small volume of liquid by changing the surface tension of the liquid', 'Surfactant: Reduces the surface tension of cosmetics and contributes to the even distribution of the product when it is used']","['Vegetal', 'Synthetic']"
COCO/OLEAMIDOPROPYL BETAINE,None,None,None,None,None,None,"['Quaternary ammonium cation', 'Amphoteric surfactant']","['Antistatic: Reduces static electricity by neutralizing electrical charge on a surface', 'Cleansing: Helps to keep a clean surface', 'Foam boosting: Improves the quality of the foam produced by increasing one or more of the following properties: volume, texture and/or stability', 'Hair conditioning: Leaves hair easy to comb, soft, soft and shiny and / or confers volume, lightness and shine', 'Skin conditioning: Maintains skin in good condition', 'Surfactant: Reduces the surface tension of cosmetics and contributes to the even distribution of the product when it is used', 'Viscosity controlling: Increases or decreases the viscosity of cosmetics']",[]
COCODIMONIUM HYDROXYPROPYL HYDROLYZED HAIR KERATIN,Medium,Medium,Medium,Medium,Medium,Medium,[],"['Antistatic: Reduces static electricity by neutralizing electrical charge on a surface', 'Hair conditioning: Leaves hair easy to comb, soft, soft and shiny and / or confers volume, lightness and shine', 'Skin conditioning: Maintains skin in good condition']",[]
COCODIMONIUM HYDROXYPROPYL HYDROLYZED WHEAT PROTEIN,Medium,Medium,Medium,Medium,Medium,Medium,"['Quaternary ammonium cation', 'Propoxylated compound', 'Gluten']","['Antistatic: Reduces static electricity by neutralizing electrical charge on a surface', 'Cleansing: Helps to keep a clean surface', 'Hair conditioning: Leaves hair easy to comb, soft, soft and shiny and / or confers volume, lightness and shine', 'Skin conditioning: Maintains skin in good condition', 'Surfactant: Reduces the surface tension of cosmetics and contributes to the even distribution of the product when it is used']","['Vegetal', 'Synthetic']"
COCONUT ACID,None,None,None,None,None,None,[],"['Cleansing: Helps to keep a clean surface', 'Emollient: Softens and smoothes the skin', 'Emulsifying: Promotes the formation of intimate mixtures between immiscible liquids by modifying the interfacial tension (water and oil)', 'Surfactant: Reduces the surface tension of cosmetics and contributes to the even distribution of the product when it is used']",['Vegetal']
COCOS NUCIFERA FRUIT EXTRACT,None,None,None,None,None,None,[],"['Emollient: Softens and smoothes the skin', 'Hair conditioning: Leaves hair easy to comb, soft, soft and shiny and / or confers volume, lightness and shine', 'Skin conditioning: Maintains skin in good condition']",['Vegetal']
COCOS NUCIFERA FRUIT JUICE,None,None,None,None,None,None,[],"['Emollient: Softens and smoothes the skin', 'Hair conditioning: Leaves hair easy to comb, soft, soft and shiny and / or confers volume, lightness and shine', 'Humectant: Maintains water content of a cosmetic both in its packaging and on the skin', 'Skin conditioning: Maintains skin in good condition']",['Vegetal']
COCOS NUCIFERA FRUIT/FRUIT JUICE EXTRACT,None,None,None,None,None,None,[],['Skin conditioning: Maintains skin in good condition'],['Vegetal']
COCOS NUCIFERA OIL,None,None,None,None,None,None,['Vegetable oil'],"['Hair conditioning: Leaves hair easy to comb, soft, soft and shiny and / or confers volume, lightness and shine', 'Masking: Reduces or inhibits the odor or basic taste of the product', 'Skin conditioning: Maintains skin in good condition', 'Perfuming: Used for perfume and aromatic raw materials']",['Vegetal']
COCOS NUCIFERA SHELL POWDER,None,None,None,None,None,None,[],"['Abrasive: Removes materials from the surface of the body, helps clean teeth and improves shine', 'Bulking: Reduces apparent cosmetics density', 'Emollient: Softens and smoothes the skin', 'Hair conditioning: Leaves hair easy to comb, soft, soft and shiny and / or confers volume, lightness and shine', 'Skin conditioning: Maintains skin in good condition']",['Vegetal']
COCOS NUCIFERA WATER,None,None,None,None,None,None,[],['Masking: Reduces or inhibits the odor or basic taste of the product'],['Vegetal']
COFFEA ARABICA SEED EXTRACT,None,None,None,None,None,None,[],"['Masking: Reduces or inhibits the odor or basic taste of the product', 'Skin conditioning: Maintains skin in good condition']",['Vegetal']
COFFEA ARABICA SEED OIL,None,None,None,None,None,None,['Vegetable oil'],['Masking: Reduces or inhibits the odor or basic taste of the product'],['Vegetal']
COFFEA ARABICA SEED POWDER,None,None,None,None,None,None,[],"['Abrasive: Removes materials from the surface of the body, helps clean teeth and improves shine']",['Vegetal']
COFFEA CANEPHORA FLOWER EXTRACT,None,None,None,None,None,None,[],['Masking: Reduces or inhibits the odor or basic taste of the product'],['Vegetal']
COLLAGEN,None,None,None,None,None,None,['Natural or hemisynthesis polymer'],"['Hair conditioning: Leaves hair easy to comb, soft, soft and shiny and / or confers volume, lightness and shine', 'Moisturising: Increases the water content of the skin and helps keep it smooth and smooth', 'Skin conditioning: Maintains skin in good condition']",['Animal']
COLLAGEN AMINO ACIDS,None,None,None,None,None,None,['Natural or hemisynthesis polymer'],"['Hair conditioning: Leaves hair easy to comb, soft, soft and shiny and / or confers volume, lightness and shine', 'Moisturising: Increases the water content of the skin and helps keep it smooth and smooth', 'Skin conditioning: Maintains skin in good condition']","['Vegetal', 'Animal']"
COLLOIDAL GOLD,None,None,None,None,None,None,[],"['Antimicrobial: Helps slowing the growth of micro-organisms on the skin and counteracts the development of microbes', 'Skin conditioning - miscellaneous: Improving the appearance of dry and/or damaged skin by reducing flaking and restoring its suppleness']",[]
COLLOIDAL PLATINUM,None,None,None,None,None,None,[],"['Antimicrobial: Helps slowing the growth of micro-organisms on the skin and counteracts the development of microbes', 'Antioxidant: Inhibits reactions favored by oxygen, thus avoiding oxidation and rancidity', 'Deodorant: Reduces or masks unpleasant body odors']",[]
COLLOIDAL SILVER,None,None,None,None,None,None,[],"['Antimicrobial: Helps slowing the growth of micro-organisms on the skin and counteracts the development of microbes', 'Slip modifier: Enhance the flow properties of other ingredients Slip modifiers do not react chemically with the material(s) to which they are added']",[]
COLOPHONIUM,Low,Low,Low,Low,Low,Low,['Rosin'],"['Binding agent: Allows the cohesion of different cosmetic ingredients', 'Depilatory: Removes unwanted hair', 'Film forming: Produces a continuous film on skin, hair or nails', 'Viscosity controlling: Increases or decreases the viscosity of cosmetics']","['Vegetal', 'Synthetic']"
COMMIPHORA ERYTHREA GLABRESCENS GUM OIL,Low,Low,Low,Low,Low,Low,"['Regulated', 'Essential oil']",['Perfuming: Used for perfume and aromatic raw materials'],[]
COMMIPHORA MYRRHA OIL,None,None,None,None,None,None,['Essential oil'],"['Masking: Reduces or inhibits the odor or basic taste of the product', 'Skin conditioning: Maintains skin in good condition', 'Tonic: Produces a feeling of well-being on skin and hair']",['Vegetal']
COMMIPHORA MYRRHA RESIN EXTRACT,None,None,None,None,None,None,[],"['Maintenance agent for nails: Improves the nails’ aesthetic characteristics', 'Skin conditioning: Maintains skin in good condition']",['Vegetal']
COPAIFERA RETICULATA BALSAM OIL,None,None,None,None,None,None,['Essential oil'],['Perfuming: Used for perfume and aromatic raw materials'],['Vegetal']
COPERNICIA CERIFERA CERA,None,None,None,None,None,None,[],"['Emollient: Softens and smoothes the skin', 'Film forming: Produces a continuous film on skin, hair or nails', 'Skin conditioning: Maintains skin in good condition']",['Vegetal']
COPERNICIA CERIFERA WAX EXTRACT,None,None,None,None,None,None,[],"['Binding agent: Allows the cohesion of different cosmetic ingredients', 'Film forming: Produces a continuous film on skin, hair or nails', 'Hair fixing: Allows hair style control']",[]
COPPER GLUCONATE,None,None,None,None,None,None,[],"['Skin conditioning: Maintains skin in good condition', 'Skin protecting: Helps to avoid the harmful effects of external factors on the skin']","['Synthetic', 'Mineral']"
COPPER SULFATE,Medium,Medium,Medium,Medium,Medium,Medium,['Sulphate'],['Skin conditioning: Maintains skin in good condition'],[]
CORALLINA OFFICINALIS EXTRACT,None,None,None,None,None,None,[],['Skin conditioning: Maintains skin in good condition'],['Vegetal']
CORIANDRUM SATIVUM EXTRACT,None,None,None,None,None,None,[],['Skin conditioning: Maintains skin in good condition'],['Vegetal']
CORIANDRUM SATIVUM FRUIT OIL,None,None,None,None,None,None,['Essential oil'],"['Masking: Reduces or inhibits the odor or basic taste of the product', 'Perfuming: Used for perfume and aromatic raw materials']",['Vegetal']
CORIANDRUM SATIVUM SEED OIL,None,None,None,None,None,None,['Vegetable oil'],['Emollient: Softens and smoothes the skin'],['Vegetal']
CORN STARCH MODIFIED,None,None,None,None,None,None,['Natural or hemisynthesis polymer'],"['Absorbent: Absorbs water (or oil) in dissolved or fine form', 'Film forming: Produces a continuous film on skin, hair or nails', 'Skin conditioning: Maintains skin in good condition', 'Viscosity controlling: Increases or decreases the viscosity of cosmetics']",[]
CORYLUS AVELLANA SEED OIL,None,None,None,None,None,None,['Vegetable oil'],['Masking: Reduces or inhibits the odor or basic taste of the product'],['Vegetal']
COUMARIN,Low,Low,Low,Low,Low,Low,"['Allergen', 'Regulated']",['Perfuming: Used for perfume and aromatic raw materials'],"['Natural', 'Synthetic']"
CRAMBE ABYSSINICA SEED OIL,None,None,None,None,None,None,['Vegetable oil'],"['Hair conditioning: Leaves hair easy to comb, soft, soft and shiny and / or confers volume, lightness and shine', 'Skin conditioning: Maintains skin in good condition']",[]
CRAMBE ABYSSINICA SEED OIL PHYTOSTEROL ESTERS,None,None,None,None,None,None,['Vegetable oil'],"['Emulsifying: Promotes the formation of intimate mixtures between immiscible liquids by modifying the interfacial tension (water and oil)', 'Film forming: Produces a continuous film on skin, hair or nails', 'Hair conditioning: Leaves hair easy to comb, soft, soft and shiny and / or confers volume, lightness and shine', 'Skin conditioning: Maintains skin in good condition']",[]
CREATINE,None,None,None,None,None,None,[],['Skin conditioning: Maintains skin in good condition'],"['Animal', 'Synthetic']"
CRITHMUM MARITIMUM EXTRACT,None,None,None,None,None,None,[],"['Skin conditioning: Maintains skin in good condition', 'Tonic: Produces a feeling of well-being on skin and hair']",['Vegetal']
CROCUS CHISANDRUS BULB EXTRACT,None,None,None,None,None,None,[],[],['Vegetal']
CROCUS CHRYSANTHUS BULB EXTRACT,None,None,None,None,None,None,[],['Skin conditioning: Maintains skin in good condition'],[]
CROCUS SATIVUS FLOWER EXTRACT,None,None,None,None,None,None,[],['Masking: Reduces or inhibits the odor or basic taste of the product'],['Vegetal']
CUCUMIS MELO FRUIT EXTRACT,None,None,None,None,None,None,[],['Skin conditioning: Maintains skin in good condition'],['Vegetal']
CUCUMIS SATIVUS EXTRACT,None,None,None,None,None,None,[],['Skin conditioning: Maintains skin in good condition'],['Vegetal']
CUCUMIS SATIVUS FRUIT,None,None,None,None,None,None,[],['Skin conditioning: Maintains skin in good condition'],['Vegetal']
CUCUMIS SATIVUS FRUIT EXTRACT,None,None,None,None,None,None,[],"['Emollient: Softens and smoothes the skin', 'Skin conditioning: Maintains skin in good condition']",['Vegetal']
CUCUMIS SATIVUS FRUIT WATER,None,None,None,None,None,None,[],['Skin conditioning: Maintains skin in good condition'],['Vegetal']
CUCUMIS SATIVUS JUICE,None,None,None,None,None,None,[],"['Emollient: Softens and smoothes the skin', 'Skin conditioning: Maintains skin in good condition']",['Vegetal']
CUCUMIS SATIVUS SEED OIL,None,None,None,None,None,None,['Vegetable oil'],"['Emollient: Softens and smoothes the skin', 'Skin conditioning: Maintains skin in good condition']",['Vegetal']
CUCURBITA PEPO FRUIT EXTRACT,None,None,None,None,None,None,[],['Skin conditioning: Maintains skin in good condition'],['Vegetal']
CUCURBITA PEPO SEED EXTRACT,None,None,None,None,None,None,[],['Skin conditioning: Maintains skin in good condition'],['Vegetal']
CUCURBITA PEPO SEED OIL,None,None,None,None,None,None,['Vegetable oil'],"['Emollient: Softens and smoothes the skin', 'Skin conditioning: Maintains skin in good condition']",['Vegetal']
CUMINUM CYMINUM FRUIT EXTRACT,Low,Low,Low,Low,Low,Low,['Regulated'],['Perfuming: Used for perfume and aromatic raw materials'],['Vegetal']
CUMINUM CYMINUM FRUIT OIL,Low,Low,Low,Low,Low,Low,"['Regulated', 'Essential oil']",['Perfuming: Used for perfume and aromatic raw materials'],['Vegetal']
CUMINUM CYMINUM SEED EXTRACT,Low,Low,Low,Low,Low,Low,['Regulated'],"['Masking: Reduces or inhibits the odor or basic taste of the product', 'Skin conditioning: Maintains skin in good condition', 'Perfuming: Used for perfume and aromatic raw materials']",['Vegetal']
CUMINUM CYMINUM SEED OIL,Low,Low,Low,Low,Low,Low,"['Regulated', 'Essential oil']","['Masking: Reduces or inhibits the odor or basic taste of the product', 'Tonic: Produces a feeling of well-being on skin and hair', 'Perfuming: Used for perfume and aromatic raw materials']",['Vegetal']
CUMINUM CYMINUM SEED POWDER,Low,Low,Low,Low,Low,Low,['Regulated'],['Skin conditioning: Maintains skin in good condition'],['Vegetal']
CUPRESSUS SEMPERVIRENS BARK EXTRACT,Low,Low,Low,Low,Low,Low,['Regulated'],"['Astringent: Helps tighten skin pores', 'Perfuming: Used for perfume and aromatic raw materials']",['Vegetal']
CUPRESSUS SEMPERVIRENS CONE EXTRACT,Low,Low,Low,Low,Low,Low,['Regulated'],"['Skin conditioning: Maintains skin in good condition', 'Tonic: Produces a feeling of well-being on skin and hair', 'Perfuming: Used for perfume and aromatic raw materials']",['Vegetal']
CUPRESSUS SEMPERVIRENS FLOWER WATER,Low,Low,Low,Low,Low,Low,['Regulated'],[],['Vegetal']
CUPRESSUS SEMPERVIRENS FRUIT EXTRACT,Low,Low,Low,Low,Low,Low,['Regulated'],"['Hair conditioning: Leaves hair easy to comb, soft, soft and shiny and / or confers volume, lightness and shine', 'Skin conditioning: Maintains skin in good condition', 'Perfuming: Used for perfume and aromatic raw materials']",['Vegetal']
CUPRESSUS SEMPERVIRENS LEAF EXTRACT,Low,Low,Low,Low,Low,Low,['Regulated'],"['Skin conditioning: Maintains skin in good condition', 'Perfuming: Used for perfume and aromatic raw materials']",['Vegetal']
